original_paper	cite_titles	links
Open-source Tools for Training Resources–OTTR	Data science pedagogical tools and practices: A systematic literature review	https://link.springer.com/article/10.1007/s10639-023-12102-y
Open-source Tools for Training Resources–OTTR	Diversifying the genomic data science research community	https://genome.cshlp.org/content/32/7/1231.short
Open-source Tools for Training Resources–OTTR	[HTML][HTML] Ten simple rules for teaching an introduction to R	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012018
Open-source Tools for Training Resources–OTTR	[HTML][HTML] Motivation, inclusivity, and realism should drive data science education	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11101914/
Open-source Tools for Training Resources–OTTR	Empowering Learning: Standalone, Browser-Only Courses for Seamless Education	https://arxiv.org/abs/2311.06961
Open-source Tools for Training Resources–OTTR	Corrigendum: Diversifying the genomic data science research community	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9712628/
What's the best chatbot for me? Researchers put LLMs through their paces.	“HOT” ChatGPT: The promise of ChatGPT in detecting and discriminating hateful, offensive, and toxic comments on social media	https://dl.acm.org/doi/abs/10.1145/3643829
What's the best chatbot for me? Researchers put LLMs through their paces.	Evolution of Generative AI for Business Decision-Making: A Case of ChatGPT	https://publish.thescienceinsight.com/index.php/msbd/article/view/87
What's the best chatbot for me? Researchers put LLMs through their paces.	[HTML][HTML] Current evaluation and recommendations for the use of artificial intelligence tools in education	https://www.degruyter.com/document/doi/10.1515/tjb-2023-0254/html
What's the best chatbot for me? Researchers put LLMs through their paces.	[HTML][HTML] Accelerating editorial processes in scientific journals: Leveraging AI for rapid manuscript review	https://www.sciencedirect.com/science/article/pii/S2772906024003571
What's the best chatbot for me? Researchers put LLMs through their paces.	Tahap Pengetahuan Dan Tahap Kekerapan Penggunaan Aplikasi Dikuasakan/Dibantu Kecerdasan Buatan (Artificial Intelligence, AI) Dalam Kalangan Pelajar DIT & …	http://journalstem.net/ojs/index.php/pkb/article/view/44
What's the best chatbot for me? Researchers put LLMs through their paces.	[PDF][PDF] Oral Oncology Reports	https://www.researchgate.net/profile/Vini-Mehta/publication/380779402_Accelerating_Editorial_Processes_in_Scientific_Journals_Leveraging_AI_for_Rapid_Manuscript_Review/links/6651a712479366623a0e83d2/Accelerating-Editorial-Processes-in-Scientific-Journals-Leveraging-AI-for-Rapid-Manuscript-Review.pdf
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] Exosomal cargos-mediated metabolic reprogramming in tumor microenvironment	https://link.springer.com/article/10.1186/s13046-023-02634-z
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] Tumour-associated macrophages: versatile players in the tumour microenvironment	https://www.frontiersin.org/articles/10.3389/fcell.2023.1261749/full
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] Monocyte depletion enhances neutrophil influx and proneural to mesenchymal transition in glioblastoma	https://www.nature.com/articles/s41467-023-37361-8
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	Coming in from the cold: overcoming the hostile immune microenvironment of medulloblastoma	https://genesdev.cshlp.org/content/36/9-10/514.short
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] CAR T-cells to treat brain tumors	https://www.sciencedirect.com/science/article/pii/S0361923023000485
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	Dormant SOX9-positive cells facilitate MYC-driven recurrence of medulloblastoma	https://aacrjournals.org/cancerres/article-abstract/82/24/4586/711513
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] Tumor-associated macrophages correlate with prognosis in medulloblastoma	https://www.frontiersin.org/articles/10.3389/fonc.2022.893132/full
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] SHH/GLI2-TGF-β1 feedback loop between cancer cells and tumor-associated macrophages maintains epithelial-mesenchymal transition and endoplasmic …	https://www.sciencedirect.com/science/article/pii/S1043661822005102
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] Heterogeneity and tumoral origin of medulloblastoma in the single-cell era	https://www.nature.com/articles/s41388-024-02967-9
Macrophages in SHH subgroup medulloblastoma display dynamic heterogeneity that varies with...	[HTML][HTML] The tumor microenvironment of medulloblastoma: an intricate multicellular network with therapeutic potential	https://www.mdpi.com/2072-6694/14/20/5009
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	Neuroimmune mechanisms of opioid use disorder and recovery: Translatability to human studies, and future research directions	https://www.sciencedirect.com/science/article/pii/S0306452223003408
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	[HTML][HTML] Inflammatory biomarkers in addictive disorders	https://www.mdpi.com/2218-273X/11/12/1824
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	[HTML][HTML] Transcriptional alterations in dorsolateral prefrontal cortex and nucleus accumbens implicate neuroinflammation and synaptic remodeling in opioid use …	https://www.sciencedirect.com/science/article/pii/S000632232101369X
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	[HTML][HTML] Single nucleus transcriptomics of ventral midbrain identifies glial activation associated with chronic opioid use disorder	https://www.nature.com/articles/s41467-023-41455-8
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	Genome-wide correlation of DNA methylation and gene expression in postmortem brain tissues of opioid use disorder patients	https://academic.oup.com/ijnp/article-abstract/24/11/879/6313219
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	A putative role for lncRNAs in epigenetic regulation of memory	https://www.sciencedirect.com/science/article/pii/S0197018621002308
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	Transcriptional and epigenetic regulation of microglia in substance use disorders	https://www.sciencedirect.com/science/article/pii/S1044743123000325
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	[HTML][HTML] Placental DNA methylation profiles in opioid-exposed pregnancies and associations with the neonatal opioid withdrawal syndrome	https://www.sciencedirect.com/science/article/pii/S0888754321000872
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	[HTML][HTML] A human stem cell-derived neuronal model of morphine exposure reflects brain dysregulation in opioid use disorder: Transcriptomic and epigenetic …	https://www.frontiersin.org/articles/10.3389/fpsyt.2023.1070556/full
Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses...	Role of long noncoding RNA Gas5 in cocaine action	https://www.sciencedirect.com/science/article/pii/S0006322320315894
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	Long noncoding RNAs in neurodevelopment and Parkinson's disease	https://onlinelibrary.wiley.com/doi/abs/10.1002/ame2.12093
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	Natural antisense transcripts in diseases: From modes of action to targeted therapies	https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wrna.1461
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	[HTML][HTML] A long non-coding RNA signature to improve prognosis prediction of gastric cancer	https://link.springer.com/article/10.1186/s12943-016-0544-0
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	[HTML][HTML] The long non-coding RNA βFaar regulates islet β-cell function and survival during obesity in mice	https://www.nature.com/articles/s41467-021-24302-6
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	Current and future perspectives of noncoding RNAs in brain function and neuropsychiatric disease	https://www.sciencedirect.com/science/article/pii/S0006322321015365
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	A putative role for lncRNAs in epigenetic regulation of memory	https://www.sciencedirect.com/science/article/pii/S0197018621002308
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	Non-coding RNAs and their bioengineering applications for neurological diseases	https://www.tandfonline.com/doi/abs/10.1080/21655979.2021.2003667
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	Role of long noncoding RNA Gas5 in cocaine action	https://www.sciencedirect.com/science/article/pii/S0006322320315894
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	[HTML][HTML] Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses with cocaine identified in the midbrains of human opioid …	https://www.nature.com/articles/s41598-018-38209-8
Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	Cocaine-related DNA methylation in caudate neurons alters 3D chromatin structure of the IRXA gene cluster	https://www.nature.com/articles/s41380-020-00909-x
OpenPBTA: The Open Pediatric Brain Tumor Atlas	[HTML][HTML] MAPK inhibitor sensitivity scores predict sensitivity driven by the immune infiltration in pediatric low-grade gliomas	https://www.nature.com/articles/s41467-023-40235-8
OpenPBTA: The Open Pediatric Brain Tumor Atlas	[HTML][HTML] Immuno-oncologic profiling of pediatric brain tumors reveals major clinical significance of the tumor immune microenvironment	https://www.nature.com/articles/s41467-024-49595-1
OpenPBTA: The Open Pediatric Brain Tumor Atlas	[HTML][HTML] The children's brain tumor network (CBTN)-Accelerating research in pediatric central nervous system tumors through collaboration and open science	https://www.sciencedirect.com/science/article/pii/S1476558622000720
OpenPBTA: The Open Pediatric Brain Tumor Atlas	Transcriptomic observations of Intra and extracellular immunotherapy targets for pediatric brain tumors	https://www.tandfonline.com/doi/abs/10.1080/1744666X.2024.2390023
OpenPBTA: The Open Pediatric Brain Tumor Atlas	[HTML][HTML] Visualizing genomic characteristics across an RNA-Seq based reference landscape of normal and neoplastic brain	https://www.nature.com/articles/s41598-023-31180-z
OpenPBTA: The Open Pediatric Brain Tumor Atlas	[HTML][HTML] The DNA methylome of pediatric brain tumors appears shaped by structural variation and predicts survival	https://www.nature.com/articles/s41467-024-51276-y
OpenPBTA: The Open Pediatric Brain Tumor Atlas	[HTML][HTML] HOXD12 defines an age-related aggressive subtype of oligodendroglioma	https://link.springer.com/article/10.1007/s00401-024-02802-1
OpenPBTA: The Open Pediatric Brain Tumor Atlas	Transforming Growth Factor Beta 2 (TGFB2) and Interferon Gamma Receptor 2 (IFNGR2) MRNA Levels in the Brainstem Tumor Microenvironment (TME) Significantly …	https://www.mdpi.com/2227-9059/12/1/191
OpenPBTA: The Open Pediatric Brain Tumor Atlas	[HTML][HTML] Somatic structural variation signatures in pediatric brain tumors	https://www.cell.com/cell-reports/fulltext/S2211-1247(23)01288-3?uuid=uuid%3Ac3fa4d1f-fa2b-4707-9696-7fd37b00af1f
OpenPBTA: The Open Pediatric Brain Tumor Atlas	ALT in Pediatric High-Grade Gliomas Can Occur without ATRX Mutation and is Enriched in Patients with Pathogenic Germline MMR Variants	https://www.biorxiv.org/content/10.1101/2022.08.05.502870.abstract
Best practices to evaluate the impact of biomedical research software—metric collection...	[HTML][HTML] The crucial role of bioimage analysts in scientific research and publication	https://journals.biologists.com/jcs/article/137/20/jcs262322/362545
Open-source Tools for Training Resources–OTTR	Data science pedagogical tools and practices: A systematic literature review	https://link.springer.com/article/10.1007/s10639-023-12102-y
Open-source Tools for Training Resources–OTTR	Diversifying the genomic data science research community	https://genome.cshlp.org/content/32/7/1231.short
Open-source Tools for Training Resources–OTTR	[HTML][HTML] Ten simple rules for teaching an introduction to R	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012018
Open-source Tools for Training Resources–OTTR	[HTML][HTML] Motivation, inclusivity, and realism should drive data science education	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11101914/
Open-source Tools for Training Resources–OTTR	Empowering Learning: Standalone, Browser-Only Courses for Seamless Education	https://arxiv.org/abs/2311.06961
Open-source Tools for Training Resources–OTTR	Corrigendum: Diversifying the genomic data science research community	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9712628/
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	Decision support in medical data using 3D decision tree visualisation	https://ieeexplore.ieee.org/abstract/document/8969926/
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	[HTML][HTML] Opioid deaths involving concurrent benzodiazepine use: assessing risk factors through the analysis of prescription drug monitoring data and postmortem …	https://www.sciencedirect.com/science/article/pii/S0376871621003495
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	Antidepressants abuse in subjects with opioid use disorders: A 10‐year study in the French OPPIDUM program	https://onlinelibrary.wiley.com/doi/abs/10.1111/fcp.12738
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	[BOOK][B] Drogas para adultos	https://books.google.com/books?hl=en&lr=&id=RNAtEAAAQBAJ&oi=fnd&pg=PT4&ots=EtO48T7AR-&sig=zlsm9dKl-w-dt7RGqz15z86FGrg
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	[HTML][HTML] The risk of ventricular dysrhythmia or sudden death in patients receiving serotonin reuptake inhibitors with methadone: A population-based study	https://www.frontiersin.org/articles/10.3389/fphar.2022.861953/full
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	Who, why and how: stakeholder attitudes toward marine non-indigenous species management in Portuguese Atlantic Islands	https://www.sciencedirect.com/science/article/pii/S096456911930938X
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	Investigation of heart rate variability (HRV) biofeedback to reduce substance cravings in an outpatient substance abuse treatment program	https://search.proquest.com/openview/230e3ed1a751b0669b41a62e9298cd01/1?pq-origsite=gscholar&cbl=18750&diss=y
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	Basic Substance Characteristics and Neuropathological Findings in Drug Abusers	https://link.springer.com/chapter/10.1007/978-3-030-60531-5_4
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	Toxicological Findings in a Possible Drug-drug Interaction Death: A Case Report	https://repository.nauss.edu.sa/handle/123456789/67149
Opioid deaths: trends, biomarkers, and potential drug interactions revealed by decision tree...	[PDF][PDF] Toxicological Findings in a Possible Drug-drug Interaction Death: A	https://www.academia.edu/download/84402820/991.pdf
Investigating the potential influence of cause of death and cocaine levels on the differential...	[HTML][HTML] Single nucleus transcriptomics of ventral midbrain identifies glial activation associated with chronic opioid use disorder	https://www.nature.com/articles/s41467-023-41455-8
Investigating the potential influence of cause of death and cocaine levels on the differential...	Molecular windows into the human brain for psychiatric disorders	https://www.nature.com/articles/s41380-018-0125-2
Investigating the potential influence of cause of death and cocaine levels on the differential...	Cocaine dependence and stroke: pathogenesis and management	https://www.ingentaconnect.com/content/ben/cnr/2015/00000012/00000002/art00008
Investigating the potential influence of cause of death and cocaine levels on the differential...	[HTML][HTML] Differentially expressed gene networks, biomarkers, long noncoding RNAs, and shared responses with cocaine identified in the midbrains of human opioid …	https://www.nature.com/articles/s41598-018-38209-8
Investigating the potential influence of cause of death and cocaine levels on the differential...	Identification of long noncoding RNA s dysregulated in the midbrain of human cocaine abusers	https://onlinelibrary.wiley.com/doi/abs/10.1111/jnc.13255
Investigating the potential influence of cause of death and cocaine levels on the differential...	Transcriptomic profiling of the ventral tegmental area and nucleus accumbens in rhesus macaques following long-term cocaine self-administration	https://www.sciencedirect.com/science/article/pii/S0376871617301266
Investigating the potential influence of cause of death and cocaine levels on the differential...	Transcriptomic analysis of zebrafish (Danio rerio) embryos to assess integrated biotoxicity of Xitiaoxi River waters	https://www.sciencedirect.com/science/article/pii/S0269749118303610
Investigating the potential influence of cause of death and cocaine levels on the differential...	NFκB1 and NFκB2 gene expression in the prefrontal cortex and hippocampus of early life stressed mice exposed to cocaine-induced conditioned place preference …	https://www.sciencedirect.com/science/article/pii/S0304394017306791
Investigating the potential influence of cause of death and cocaine levels on the differential...	Cocaine and Cerebral Small Vessel: Is it a Negative Factor for Intravenous Thrombolysis?	https://www.ingentaconnect.com/content/ben/cvp/2016/00000014/00000003/art00013
Investigating the potential influence of cause of death and cocaine levels on the differential...	Epigenomic studies of substance use	https://link.springer.com/chapter/10.1007/978-3-030-95350-8_8
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	[HTML][HTML] Mediation effects of DNA methylation and hydroxymethylation on birth outcomes after prenatal per-and polyfluoroalkyl substances (PFAS) exposure in the …	https://link.springer.com/article/10.1186/s13148-023-01461-5
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	The impact of environmental factors on 5-hydroxymethylcytosine in the brain	https://link.springer.com/article/10.1007/s40572-020-00268-3
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	Low-dose inhalation exposure to trichloroethylene induces dopaminergic neurodegeneration in rodents	https://academic.oup.com/toxsci/article-abstract/196/2/218/7260540
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	Prenatal lead (Pb) exposure and peripheral blood DNA methylation (5mC) and hydroxymethylation (5hmC) in Mexican adolescents from the ELEMENT birth cohort	https://ehp.niehs.nih.gov/doi/abs/10.1289/EHP8507
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	Best practices for epigenome-wide DNA modification data collection and analysis	https://www.sciencedirect.com/science/article/pii/B9780128172186000061
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	A Bayesian hierarchical model for improving measurement of 5mC and 5hmC levels: Toward revealing associations between phenotypes and methylation states	https://onlinelibrary.wiley.com/doi/abs/10.1002/gepi.22489
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	Parkinson's disease-associated shifts between DNA methylation and DNA hydroxymethylation in human brain in PD-related genes, including PARK19 (DNAJC6) and …	https://pmc.ncbi.nlm.nih.gov/articles/PMC11275970/
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	[HTML][HTML] Distinguishing active versus passive DNA demethylation using illumina methylationepic beadchip microarrays	https://link.springer.com/protocol/10.1007/978-1-0716-1294-1_7
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	Epigenetics and cerebrovascular diseases	https://www.sciencedirect.com/science/article/pii/B9780443185168000028
A novel application of mixed effects models for reconciling base-pair resolution 5-methylcytosine...	[PDF][PDF] BIOINFORMATIC ANALYSIS OF OBESITY RELATED EPIGENETIC TARGETS	https://pure.ulster.ac.uk/files/102924923/2021CairnsSMPhil.pdf
