repo	timestamp	count_clones	uniques_clones	count_views	uniques_views
FredHutch/gimap	2024-11-17	1	1	15	2
FredHutch/gimap	2024-11-18	6	1	10	3
FredHutch/gimap	2024-11-20	6	1	51	4
FredHutch/gimap	2024-11-21	6	1	4	2
FredHutch/gimap	2024-11-22	15	3	6	2
FredHutch/gimap	2024-11-25	64	4	73	1
FredHutch/gimap	2024-11-19	NA	NA	6	1
FredHutch/gimap	2024-11-26	NA	NA	5	2
FredHutch/gimap	2024-11-27	NA	NA	4	3
FredHutch/pgmap	2024-11-20	27	1	14	2
FredHutch/pgmap	2024-11-21	1	1	NA	NA
FredHutch/pgmap	2024-11-26	1	1	NA	NA
FredHutch/pgmap	2024-11-17	NA	NA	6	1
FredHutch/pgmap	2024-11-18	NA	NA	10	1
FredHutch/pgmap	2024-11-19	NA	NA	1	1
FredHutch/pgmap	2024-11-25	NA	NA	3	1
FredHutch/pgmap	2024-11-27	NA	NA	5	1
fhdsl/metricminer	2024-11-18	6	2	21	2
fhdsl/metricminer	2024-11-25	5	1	20	4
fhdsl/metricminer	2024-11-27	45	5	32	1
fhdsl/metricminer	2024-11-19	NA	NA	5	3
fhdsl/metricminer	2024-11-20	NA	NA	2	2
fhdsl/metricminer	2024-11-21	NA	NA	2	2
fhdsl/metricminer-dashboard	NA	0	0	NA	NA
fhdsl/metricminer-dashboard	2024-11-18	NA	NA	1	1
fhdsl/metricminer-dashboard	2024-11-21	NA	NA	1	1
fhdsl/metricminer-dashboard	2024-11-22	NA	NA	1	1
fhdsl/metricminer-dashboard	2024-11-24	NA	NA	3	1
fhdsl/metricminer-dashboard	2024-11-25	NA	NA	5	2
fhdsl/metricminer-dashboard	2024-11-29	NA	NA	1	1
fhdsl/metricminer.org	2024-11-19	1	1	NA	NA
fhdsl/metricminer.org	2024-11-24	1	1	NA	NA
fhdsl/metricminer.org	NA	NA	NA	0	0
jhudsl/OTTR_Template	2024-11-17	1	1	1	1
jhudsl/OTTR_Template	2024-11-19	NA	NA	4	3
jhudsl/OTTR_Template	2024-11-20	NA	NA	9	4
jhudsl/OTTR_Template	2024-11-21	NA	NA	2	2
jhudsl/OTTR_Template	2024-11-22	NA	NA	4	2
jhudsl/OTTR_Template	2024-11-23	NA	NA	1	1
jhudsl/OTTR_Template	2024-11-24	NA	NA	10	2
jhudsl/OTTR_Template	2024-11-26	NA	NA	2	2
jhudsl/OTTR_Template	2024-11-27	NA	NA	24	4
jhudsl/OTTR_Template_Website	2024-11-27	1	1	11	3
jhudsl/OTTR_Quizzes	NA	0	0	NA	NA
jhudsl/OTTR_Quizzes	2024-11-27	NA	NA	1	1
jhudsl/ottrpal	2024-11-30	1	1	NA	NA
jhudsl/ottrpal	2024-11-18	NA	NA	1	1
jhudsl/ottrpal	2024-11-19	NA	NA	1	1
jhudsl/ottrpal	2024-11-26	NA	NA	1	1
jhudsl/ottrpal	2024-11-28	NA	NA	1	1
jhudsl/ari	2024-11-18	2	2	NA	NA
jhudsl/ari	2024-11-17	NA	NA	1	1
jhudsl/ari	2024-11-20	NA	NA	1	1
jhudsl/ari	2024-11-21	NA	NA	1	1
jhudsl/ari	2024-11-22	NA	NA	1	1
jhudsl/ari	2024-11-23	NA	NA	1	1
jhudsl/ari	2024-11-24	NA	NA	1	1
jhudsl/ari	2024-11-27	NA	NA	2	2
jhudsl/ari	2024-11-28	NA	NA	1	1
jhudsl/ari	2024-11-29	NA	NA	1	1
jhudsl/ari	2024-11-30	NA	NA	1	1
jhudsl/ottrproject.org	2024-11-27	56	14	82	6
jhudsl/ottrproject.org	2024-11-19	NA	NA	1	1
jhudsl/ottr-reports	NA	0	0	0	0
fhdsl/posterpoller	2024-11-18	1	1	NA	NA
fhdsl/posterpoller	2024-11-25	NA	NA	1	1
fhdsl/widget-survey	NA	0	0	NA	NA
fhdsl/widget-survey	2024-11-25	NA	NA	1	1
cansavvy/ECYP	NA	0	0	NA	NA
cansavvy/ECYP	2024-11-25	NA	NA	1	1
fhdsl/conrad	NA	0	0	NA	NA
fhdsl/conrad	2024-11-18	NA	NA	1	1
fhdsl/conrad	2024-11-21	NA	NA	2	1
fhdsl/conrad	2024-11-22	NA	NA	1	1
fhdsl/conrad	2024-11-24	NA	NA	1	1
fhdsl/conrad	2024-11-26	NA	NA	1	1
fhdsl/conrad	2024-11-27	NA	NA	1	1
jhudsl/text2speech	NA	0	0	NA	NA
jhudsl/text2speech	2024-11-18	NA	NA	3	2
jhudsl/text2speech	2024-11-19	NA	NA	3	2
jhudsl/text2speech	2024-11-20	NA	NA	2	2
jhudsl/text2speech	2024-11-21	NA	NA	1	1
jhudsl/text2speech	2024-11-22	NA	NA	2	2
jhudsl/text2speech	2024-11-24	NA	NA	15	5
jhudsl/text2speech	2024-11-25	NA	NA	1	1
jhudsl/text2speech	2024-11-27	NA	NA	2	2
jhudsl/ITN_Platforms	2024-11-23	1	1	NA	NA
jhudsl/ITN_Platforms	2024-11-25	NA	NA	1	1
fhdsl/Choosing_Genomics_Tools	2024-11-23	1	1	NA	NA
fhdsl/Choosing_Genomics_Tools	2024-11-26	1	1	1	1
fhdsl/Choosing_Genomics_Tools	2024-11-29	1	1	NA	NA
fhdsl/Choosing_Genomics_Tools	2024-11-19	NA	NA	2	2
fhdsl/Choosing_Genomics_Tools	2024-11-20	NA	NA	1	1
fhdsl/Choosing_Genomics_Tools	2024-11-21	NA	NA	3	3
fhdsl/Choosing_Genomics_Tools	2024-11-22	NA	NA	3	2
fhdsl/Choosing_Genomics_Tools	2024-11-24	NA	NA	4	1
fhdsl/Choosing_Genomics_Tools	2024-11-25	NA	NA	1	1
fhdsl/Choosing_Genomics_Tools	2024-11-27	NA	NA	4	1
jhudsl/Documentation_and_Usability	NA	0	0	NA	NA
jhudsl/Documentation_and_Usability	2024-11-21	NA	NA	1	1
jhudsl/Documentation_and_Usability	2024-11-22	NA	NA	3	2
jhudsl/Documentation_and_Usability	2024-11-27	NA	NA	4	1
jhudsl/Reproducibility_in_Cancer_Informatics	2024-11-22	1	1	2	1
jhudsl/Reproducibility_in_Cancer_Informatics	2024-11-20	NA	NA	1	1
jhudsl/Reproducibility_in_Cancer_Informatics	2024-11-21	NA	NA	1	1
jhudsl/Reproducibility_in_Cancer_Informatics	2024-11-27	NA	NA	4	1
jhudsl/Adv_Reproducibility_in_Cancer_Informatics	2024-11-18	1	1	NA	NA
jhudsl/Adv_Reproducibility_in_Cancer_Informatics	2024-11-23	1	1	NA	NA
jhudsl/Adv_Reproducibility_in_Cancer_Informatics	2024-11-27	1	1	4	1
jhudsl/Adv_Reproducibility_in_Cancer_Informatics	2024-11-30	1	1	NA	NA
jhudsl/Adv_Reproducibility_in_Cancer_Informatics	2024-11-21	NA	NA	1	1
jhudsl/Adv_Reproducibility_in_Cancer_Informatics	2024-11-22	NA	NA	2	1
jhudsl/Adv_Reproducibility_in_Cancer_Informatics	2024-11-28	NA	NA	2	1
jhudsl/Adv_Reproducibility_in_Cancer_Informatics	2024-11-29	NA	NA	1	1
fhdsl/GitHub_Automation_for_Scientists	2024-11-21	1	1	1	1
fhdsl/GitHub_Automation_for_Scientists	2024-11-27	1	1	4	1
fhdsl/GitHub_Automation_for_Scientists	2024-11-22	NA	NA	3	2
jhudsl/Computing_for_Cancer_Informatics	2024-11-24	2	2	NA	NA
jhudsl/Computing_for_Cancer_Informatics	2024-11-28	2	2	NA	NA
jhudsl/Computing_for_Cancer_Informatics	2024-11-18	NA	NA	1	1
jhudsl/Computing_for_Cancer_Informatics	2024-11-19	NA	NA	1	1
jhudsl/Computing_for_Cancer_Informatics	2024-11-20	NA	NA	1	1
jhudsl/Computing_for_Cancer_Informatics	2024-11-21	NA	NA	1	1
jhudsl/Computing_for_Cancer_Informatics	2024-11-22	NA	NA	2	1
jhudsl/Computing_for_Cancer_Informatics	2024-11-26	NA	NA	1	1
jhudsl/Computing_for_Cancer_Informatics	2024-11-27	NA	NA	11	5
jhudsl/Computing_for_Cancer_Informatics	2024-11-29	NA	NA	1	1
fhdsl/Ethical_Data_Handling_for_Cancer_Research	2024-11-18	1	1	NA	NA
fhdsl/Ethical_Data_Handling_for_Cancer_Research	2024-11-28	1	1	NA	NA
fhdsl/Ethical_Data_Handling_for_Cancer_Research	2024-11-20	NA	NA	2	1
fhdsl/Ethical_Data_Handling_for_Cancer_Research	2024-11-21	NA	NA	1	1
fhdsl/Ethical_Data_Handling_for_Cancer_Research	2024-11-22	NA	NA	2	1
fhdsl/Ethical_Data_Handling_for_Cancer_Research	2024-11-27	NA	NA	4	1
fhdsl/AI_for_Decision_Makers	2024-11-18	1	1	1	1
fhdsl/AI_for_Decision_Makers	2024-11-20	2	2	NA	NA
fhdsl/AI_for_Decision_Makers	2024-11-25	2	2	6	2
fhdsl/AI_for_Decision_Makers	2024-11-21	NA	NA	1	1
fhdsl/AI_for_Decision_Makers	2024-11-22	NA	NA	7	2
fhdsl/AI_for_Decision_Makers	2024-11-27	NA	NA	7	3
fhdsl/AI_for_Efficient_Programming	2024-11-21	1	1	1	1
fhdsl/AI_for_Efficient_Programming	2024-11-27	2	2	5	2
fhdsl/AI_for_Efficient_Programming	2024-11-19	NA	NA	1	1
fhdsl/AI_for_Efficient_Programming	2024-11-20	NA	NA	1	1
fhdsl/AI_for_Efficient_Programming	2024-11-22	NA	NA	3	2
fhdsl/AI_for_Efficient_Programming	2024-11-23	NA	NA	1	1
fhdsl/AI_for_Efficient_Programming	2024-11-25	NA	NA	1	1
fhdsl/containers-for-scientists-sandbox	2024-11-22	1	1	NA	NA
fhdsl/containers-for-scientists-sandbox	2024-11-28	1	1	NA	NA
fhdsl/containers-for-scientists-sandbox	2024-11-30	1	1	NA	NA
fhdsl/containers-for-scientists-sandbox	2024-11-17	NA	NA	1	1
fhdsl/containers-for-scientists-sandbox	2024-11-21	NA	NA	1	1
fhdsl/containers-for-scientists-sandbox	2024-11-25	NA	NA	1	1
fhdsl/containers-for-scientists-sandbox	2024-11-27	NA	NA	7	2
fhdsl/containers_for_scientists	2024-11-19	1	1	NA	NA
fhdsl/containers_for_scientists	2024-11-24	1	1	NA	NA
fhdsl/containers_for_scientists	2024-11-22	NA	NA	3	2
fhdsl/containers_for_scientists	2024-11-25	NA	NA	2	2
fhdsl/containers_for_scientists	2024-11-27	NA	NA	2	2
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-20	53	5	13	2
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-21	5	5	NA	NA
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-23	1	1	NA	NA
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-26	1	1	NA	NA
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-29	1	1	NA	NA
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-18	NA	NA	4	2
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-19	NA	NA	2	1
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-22	NA	NA	1	1
fhdsl/Proactive_Data_Management_and_Sharing	2024-11-25	NA	NA	2	2
